System,link0_X,link0_Y,link0_Z,Linked system 1,link1_X,link1_Y,link1_Z,Linked system 2,link2_X,link2_Y,link2_Z,Points to system,target_X,target_Y,target_Z,Related discovery,Canonn,Other,Notes,Solved?
Ross 446,14.21875,16.90625,-6.53125,,,,,,,,,Istanu,2.0625,55.15625,1.28125,Istanu Unauthorised Installation,https://canonn.science/codex/istanu-unauthorised-installation/,,Start of the trail leading to the LP was found in the Ross 154 Herald,yes
Saffron,72.875,-117.75,55.78125,,,,,,,,,Maidjin,33.15625,-85.75,99.71875,Omega Grid lore,https://canonn.science/codex/omega-grid/,,Gives a follow-up inbox msg the next day. Series of beacons with Omega Grid lore with Galnet posts,yes
Shana Bei,-72.1875,-71.375,-59.0625,,,,,,,,,,,,,Memorial for CMDR Tony Voller,,,,yes
Shinrarta Dezhra,55.71875,17.59375,27.15625,,,,,,,,,,,,,Pilots' Memorial: Shinrarta Dezhra,,https://forums.frontier.co.uk/threads/elite-dangerous-in-game-memorials.566260/,,yes
Sol,0.0,0.0,0.0,,,,,,,,,,,,,Pilots' Memorial: Sol,,https://forums.frontier.co.uk/threads/elite-dangerous-in-game-memorials.566260/,,yes
Swoilz TU-R b10-2,241.0625,-118.09375,448.5,Swoilz XR-W c4-31,311.09375,-133.15625,416.90625,Swoilz TZ-R b10-4,285.0,-93.90625,448.71875,HIP 83003,280.875,-119,434.875,Trading Vessel MD-004,https://canonn.science/codex/trading-vessel-md-004/,,,yes
Synuefai JI-R d5-12,-926.125,-464.34375,-572.71875,Synuefai ML-U b20-0,-824.03125,-537.5,-606.4375,Synuefai SS-Y b18-0,-902.375,-463.3125,-664.6875,Synuefai FV-U b20-0,-879.5,-499.875,-619.1875,Extraction Site V-81,https://canonn.science/codex/extraction-site-v-81/,,,yes
Synuefai VJ-C b19-1,-69.75,-69.28125,-658.6875,Synuefe CV-P c8-11,-30.65625,-67.625,-696.71875,Synuefe TI-A b20-1,-4.375,-99.3125,-642.15625,Synuefe QA-U d4-27,-37.625,-80.09375,-664.71875,Pirate Cache,https://canonn.science/codex/pirate-cache/,,,yes
Synuefe BA-X B34-2,198.65625,-214.125,-309.8125,,,,,,,,,Synuefe JJ-O d7-55,191.5625,-259.1875,-391.71875,Hesperus beacon TX-B-05,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Synuefe FM-S B37-4,208.71875,-138.84375,-255.4375,,,,,,,,,Synuefe BA-X B34-2,198.65625,-214.125,-309.8125,Hesperus beacon TX-B-04,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Synuefe GB-O c9-8,-48.78125,-72.21875,-656.0625,,,,,,,,,HIP 22460,-41.3125,-58.96875,-354.78125,Commander Hyford storyline (4/4),https://canonn.science/codex/colonia-crash-site/,https://www.youtube.com/watch?v=hisbQoaDox8,"Scanning this LP will give the HIP 22460 permit, where you'll find the Overlook megaship & Fort Asch",yes
Synuefe HY-P D6-31,215.96875,-306.125,-468.40625,,,,,,,,,Synuefe MQ-H C12-4,268.21875,-328.25,-544.3125,Hesperus beacon TX-B-07,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Synuefe JJ-O d7-55,191.5625,-259.1875,-391.71875,,,,,,,,,Synuefe HY-P D6-31,215.96875,-306.125,-468.40625,Hesperus beacon TX-B-06,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Synuefe KN-A a82-0,377.6875,-44.5,-194.625,Wregoe DZ-D b39-6,283.90625,-5.625,-208.03125,Wregoe PD-K d8-40,342.21875,-22.5,-268.25,Synuefe KN-J a77-3,342.59375,-29.1875,-236.78125,Small surface base,https://canonn.science/codex/kidnapped/,https://forums.frontier.co.uk/threads/just-found-probably-undescovered-yet-abandoned-settlement.580939/,,yes
Synuefe MQ-H C12-4,268.21875,-328.25,-544.3125,,,,,,,,,Synuefe RJ-U B21-0,330.46875,-357.65625,-603.4375,Hesperus beacon TX-B-08,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Synuefe RJ-U B21-0,330.46875,-357.65625,-603.4375,,,,,,,,,Witch Head Sector OT-Q b5-0,337.625,-359.71875,-701.125,Hesperus beacon TX-B-09,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Synuefe XE-Y c17-7,218.78125,-102.4375,-279.34375,,,,,,,,,,,,,Adamastor Listening Post,https://canonn.science/codex/adamastor-listening-post/,https://forums.frontier.co.uk/threads/cryptic-elite-instagram-twitter-posts.557207/post-8780281,Partially unsolved - Encoded message has not been fully decrypted. Believed to point to Site 23B.,partially
Taurus Dark Region UY-R b4-0,-3.59375,-120.4375,-444.5625,Perseus Dark Region LN-K b8-0,-363.78125,-380.78125,-974.53125,California Sector IH-V c2-1,-352.03125,-222.65625,-885.21875,Perseus Dark Region KC-V c2-2,-368.03125,-321.6875,-1047.625,Hesperus,https://canonn.science/codex/hesperus/,,"Encrypted message, points to NGC 1333 and California Sectors",yes
Teorge,79.4375,60.65625,74.3125,,,,,,,,,,,,,Ragazza Logs (7 LPs),https://canonn.science/codex/teorge-listening-posts/,,"Recordings seems to be made by Rebecca, who also made the logs on megaship The Zurara.",yes
Thoth,1.9375,41.46875,-24.8125,,,,,,,,,,,,,Transport Lakon Baker Gamma Sierra Heavy,https://canonn.science/codex/transport-lakon-baker-gamma-sierra-heavy/,,Distress Beacon points to crashed ship on the moon. An easter egg from a livestream with developer CMDR Dav.,yes
Trapezium Sector FH-U c3-3,507.25,-336.1875,-1078.125,,,,,,,,,Col 69 Sector VK-E c12-10,440.84375,-309.40625,-1136.9375,Hesperus beacon TX-B-15,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Upaniklis,-151.21875,-25.0,77.71875,,,,,,,,,,,,,Megaship The Golconda,https://canonn.science/codex/the-golconda/,https://community.elitedangerous.com/galnet/uid/5dc583285c6f2e59a851f5d0,Broken up message leads to The Golconda in the same system at B 7,yes
Varati,-178.65625,77.125,-87.125,,,,,,,,,Synuefe QM-I b43-10,590.96875,-81.03125,-135.96875,Jonas Inc Relay Station C-64 & The Bifrost,,https://imgur.com/gallery/fLetr,"Canonn rescue mission. Points to Jonas Inc Relay Station C-64 where CMDR Lady Outspan directed you to a lost expedition on Col 173 Sector LJ-F C12-0 (A 4 c) named The Bifrost. (Also megaship The Cete in same system, and Guardian sites at B 6 and B 7)",yes
Witch Head Sector OT-Q b5-0,337.625,-359.71875,-701.125,,,,,,,,,Horsehead Sector CB-O b6-0,376.8125,-332.875,-784.84375,Hesperus beacon TX-B-10,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Wolf 1301,-15.4375,-34.6875,-79.40625,,,,,,,,,,,,,Memorial Family is More than Blood,,https://eddb.io/attraction/73890,Memorial for CMDR Hirobadger,yes
Wredguia EB-F d11-37,-495.0625,93.53125,-87.6875,Wredguia EB-M c21-11,-457.59375,100.125,-129.28125,Wredguia KC-K c22-1,-437.34375,93.9375,-100.28125,Wredguia JC-K c22-8,-469.4375,93.625,-104.21875,Colony SNB-86,https://canonn.science/codex/colony-snb-86/,,,yes
Wredguia DQ-R b20-0,-557.34375,451.125,-617.625,Wredguia QO-K b24-0,-612.9375,445.125,-543.6875,Wredguia RI-S d4-10,-618.84375,484.875,-636.125,Wredguia RI-S d4-4,-595.125,460.59375,-598.53125,Lazarus Outpost,https://canonn.science/codex/lost-explorer/,,,yes
Wredguia ML-P d5-21,39.375,-513.59375,558.59237,Wredguia PR-N d6-28,47.21875,-454.34375,538.44079,Wredguia UX-L d7-53,-2.15625,-421.46875,471.52217,HIP 20556,-229.40625,19.6875,-447.59375,Abandoned SRV,,https://imgur.com/a/DJTGlwp,,yes
Wregoe CU-B b15-0,60.9375,400.875,-728.15625,Wregoe NW-X b16-0,40.5625,356.3125,-696.40625,Wregoe YY-B b15-0,18.78125,417.3125,-740.28125,Wregoe HV-Z b15-0,38.15625,388.5625,-719.84375,Herpin Research Base,https://canonn.science/codex/herpin-research-base/,,,yes
Wregoe DK-R b4-1,171.65625,7.5625,-951.1875,,,,,,,,,Synuefe Gb-O c9-8,-48.78125,-72.21875,-656.0625,Commander Hyford storyline (3/4),https://canonn.science/codex/colonia-crash-site/,https://www.youtube.com/watch?v=hisbQoaDox8,"Series of LPs, but story begins at ""Commander Hyford storyline (start)"" in Colonia",yes
Wregoe TA-E d12-6,197.375,381.96875,48.59375,Wregoe IB-Z c28-1,196.1875,358.25,177.46875,Wregoe YB-C d13-36,152.03125,304.15625,106.53125,HIP 62233,183.875,353.65625,111.40625,Trading Vessel MD-001,https://canonn.science/codex/trading-vessel-md-001/,,,yes
Zhao Jin,125.25,-43.875,27.53125,,,,,,,,,,,,,Omega Grid lore,https://canonn.science/codex/omega-grid/,https://community.elitedangerous.com/galnet/uid/6203a754f628791f254db8d8,Gives a follow-up inbox msg the next day. Series of beacons with Omega Grid lore with Galnet posts,yes
