siteID,system,planet,status,locationLat,locationLon,msg1,msg2,msg3,timesReferenced,galacticX,galacticY,galacticZ,discoveredBy
TS204,MEL 22 SECTOR IO-G B11-1,1 A,✔,-18.0788,42.2722,TS205,TS148,TS206,4,-198.09,-202.34375,-381.90625,
TS205,MEL 22 SECTOR OY-R C4-5,2 A,✔,34.9502,136.1186,TS204,TS201,TS203,2,-194.38,-207,-388.65625,
TS206,MEL 22 SECTOR JC-V D2-19,4 B,✔,9.4863,-108.1907,TS191,TS200,TS204,2,-203.19,-219.625,-356.65625,
TS207,MEL 22 SECTOR JC-V D2-31,A 16 B,✔,40.0326,164.0504,TS201,TS199,TS205,1,-158.59,-232.78125,-392.96875,
TS208,ARIES DARK REGION HR-W C1-1,8 C,✔,21.0004,75.8452,TS209,TS191,TS174,1,-169.47,-231.34375,-298.71875,
TS209,MEL 22 SECTOR AX-A B14-1,1 B,✘,-8.1745,65.0438,X,X,X,1,-164.31,-237.28125,-319.78125,
TS210,HYADES SECTOR DB-X C1-19,8 C,✘,27.1036,-128.5733,X,X,X,1,-79.94,-88.375,-219.8125,
TS211,ARIES DARK REGION IM-V C2-5,12 A,✘,16.5321,-8.3025,X,X,X,1,-27.03,-115.21875,-262.625,
TS212,HIP 15134,3 B,✘,-14.3252,-67.3716,X,X,X,1,-48.09,-136.65625,-198.8125,
TS213,HIP 20964,3 B,✘,19.4297,-146.9173,X,X,X,1,-35.78,-61.375,-245.96875,
TS214,PLEIADES SECTOR FW-W D1-37,2 A,✔,37.6546,39.9261,TS216,TS215,TS213,1,-79.69,-79.28125,-279.5625,
TS215,HIP 18909,A 4 E A,✔,60.0704,150.5113,TS211,TS212,TS217,1,-24.56,-107.3125,-237.75,
TS216,HIP 14908,A 2 A,✘,70.8429,19.5973,X,X,X,1,-74.84,-127.65625,-218.28125,
TS217,ARIES DARK REGION GW-W D1-86,1 B,✘,-28.2303,99.013,X,X,X,1,-21.25,-129.75,-227.875,
TS218,PLEIADES SECTOR LS-T C3-2,5 A,✔,10.0272,45.0325,TS214,TS219,TS210,1,-58.97,-81.5625,-296.53125,
TS219,PLEIADES SECTOR GW-W D1-54,2 C,✔,76.9958,-139.547,TS154,TS218,TS220,1,-46.63,-91.6875,-271.03125,
TS220,HIP 22347,4 A,✘,17.9813,140.8444,X,X,X,1,14.44,-80.15625,-259.5625,
TS221,COL 285 SECTOR BQ-X C1-10,1 A,✘,37.1876,-149.1016,X,X,X,2,-172.03,-61.625,-272.34375,
TS222,SYNUEFAI RK-Y C17-3,A 1 A,✔,47.3339,-16.4177,TS223,TS224,TS169,1,-180.19,-64.375,-300.6875,
TS223,HIP 14969,CD 2 A,✔,-3.7118,89.4021,TS222,TS221,TS225,1,-193.97,-72.75,-315.09375,
TS224,HIP 16692,4 C,✘,-20.2772,152.5539,X,X,X,1,-109.94,-61.5625,-235.8125,
TS225,SYNUEFAI UZ-M D8-63,B 1 A,✔,-53.0775,46.9689,TS226,TS221,TS111,1,-198.56,-99.3125,-269.25,
TS226,COL 285 SECTOR EB-X D1-39,4 A,✘,-1.2455,-139.3824,X,X,X,1,-157.78,-83.625,-260.5,
TS227,PLEIADES SECTOR DG-X C1-11,A 3 A,✘,-3.2977,-131.8149,X,X,X,1,-49.25,-70.4375,-360.8125,
TS228,SYNUEFE HZ-M D8-69,B 7 F,✔,6.4332,-124.9072,X,X,X,0,28.03,-89.375,-338.6875,
TS229,HIP 22711,7 A,✔,16.3571,-135.0391,TS227,HIP 22460,X,0,-35.75,-60.84375,-366.90625,Thepirateorc
