System,USSType,x,y,z,Check
Dilga,$USS_Type_Convoy;,10.125,-124.938,25.688,pass
Djamburii,$USS_Type_VeryValuableSalvage;,14.813,-181.406,50.469,pass
Drojeae EO-B c16-10,$USS_Type_Salvage;,-1809.438,-114.188,3482.344,pass
Drojeae JG-L b6,$USS_Type_Salvage;,-1642.21875,-115.71875,2777.625,pass
Drojeae PR-W b21-4,$USS_Type_Salvage;,-1787.531,-116.906,3249.125,pass
Ebor,$USS_Type_Aftermath;,-30.71875,-49.6875,-49.6875,fail
Ebor,$USS_Type_MissionTarget;,-30.71875,-49.6875,-113.8125,pass
Ebor,$USS_Type_WeaponsFire;,-30.71875,-49.6875,-113.8125,pass
Ebor,$USS_Type_WeaponsFire;,-30.71875,-49.6875,-49.6875,fail
Ehi,$USS_Type_DistressSignal;,38.594,-33.625,18.219,pass
Ehi,$USS_Type_Salvage;,38.594,-33.625,18.219,pass
Ehi,$USS_Type_VeryValuableSalvage;,38.59375,-33.625,18.21875,pass
Ehi,$USS_Type_WeaponsFire;,38.59375,-33.625,18.21875,pass
Ekonir,$USS_Type_Salvage;,-37.78125,0.53125,63.90625,pass
Electra,$USS_Type_Aftermath;,-86.0625,-159.9375,-361.65625,pass
Electra,$USS_Type_Aftermath;,-86.063,-159.938,-361.656,pass
Electra,$USS_Type_Convoy;,-86.063,-159.938,-361.656,pass
Electra,$USS_Type_DistressSignal;,-86.063,-159.938,-361.656,pass
ELECTRA,$USS_Type_NonHuman;,-86.0625,-159.9375,-361.65625,pass
Electra,$USS_Type_NonHuman;,-86.0625,-159.9375,-361.656,pass
Electra,$USS_Type_NonHuman;,-86.0625,-159.9375,-361.65625,pass
Electra,$USS_Type_NonHuman;,-86.063,-159.938,-361.656,pass
Electra,$USS_Type_Salvage;,-86.0625,-159.9375,-361.65625,pass
Electra,$USS_Type_Salvage;,-86.063,-159.938,-361.656,pass
Electra,$USS_Type_TradingBeacon;,-86.063,-159.938,-361.656,pass
Electra,$USS_Type_ValuableSalvage;,-86.063,-159.938,-361.656,pass
Electra,$USS_Type_WeaponsFire;,-86.0625,-159.9375,-361.65625,pass
Electra,$USS_Type_WeaponsFire;,-86.063,-159.938,-361.656,pass
Endin,$USS_Type_Salvage;,128.5,106.59375,72.03125,pass
Ensoreus,$USS_Type_MissionTarget;,69.156,66.219,69.563,pass
Epsilon Eridani,$USS_Type_Aftermath;,1.938,-7.75,-6.844,pass
Epsilon Indi,$USS_Type_Aftermath;,3.125,-8.875,7.125,pass
Epsilon Indi,$USS_Type_Convoy;,3.125,-8.875,7.125,pass
Epsilon Indi,$USS_Type_DistressSignal;,3.125,-8.875,7.125,pass
Epsilon Indi,$USS_Type_Salvage;,3.125,-8.875,7.125,pass
Epsilon Indi,$USS_Type_TradingBeacon;,3.125,-8.875,7.125,pass
Epsilon Indi,$USS_Type_ValuableSalvage;,3.125,-8.875,7.125,pass
Epsilon Indi,$USS_Type_WeaponsFire;,3.125,-8.875,7.125,pass
Epsilon Phoenicis,$USS_Type_Aftermath;,29.219,-135.563,39.594,pass
Epsilon Serpentis,$USS_Type_VeryValuableSalvage;,-12.34375,46.25,51.65625,pass
ER 8,$USS_Type_ValuableSalvage;,37.281,12.656,27.813,pass
Eranin,$USS_Type_Salvage;,-22.844,36.531,-1.188,pass
Eranin,$USS_Type_WeaponsFire;,-22.84375,36.53125,-1.1875,pass
Eravate,$USS_Type_DistressSignal;,-42.438,-3.156,59.656,pass
Eravate,$USS_Type_Salvage;,-42.438,-3.156,59.656,pass
Eravate,$USS_Type_ValuableSalvage;,-42.438,-3.156,59.656,pass
Eravate,$USS_Type_VeryValuableSalvage;,-42.438,-3.156,59.656,pass
Eta Crucis,$USS_Type_Salvage;,56.563,-2.688,30.719,pass
Ethgreze,$USS_Type_WeaponsFire;,-30.031,72.344,-23.813,pass
Eurybia,$USS_Type_Convoy;,51.406,-54.406,-30.5,pass
Evenses,$USS_Type_ValuableSalvage;,-133.875,54.031,-80.563,pass
Exioce,$USS_Type_Aftermath;,78.5,-100.25,16.781,pass
Exphiay,$USS_Type_WeaponsFire;,283.844,-128.25,-38.938,pass
EZ Aquarii,$USS_Type_MissionTarget;,-4.438,-9.313,4.094,pass
EZ Piscium,$USS_Type_Salvage;,-36.469,-35.656,-15.188,pass
Flousop,$USS_Type_VeryValuableSalvage;,-1.625,16.8125,4,pass
Flyooe Eohn LM-C d6,$USS_Type_Salvage;,820.844,-264.531,-3607.719,pass
Formanjia,$USS_Type_Aftermath;,47.09375,-95.3125,-53.75,pass
Formanjia,$USS_Type_Salvage;,47.094,-95.313,-53.75,pass
Formanjia,$USS_Type_ValuableSalvage;,47.09375,-95.3125,-53.75,pass
Formanjia,$USS_Type_ValuableSalvage;,47.094,-95.313,-53.75,pass
Fotla,$USS_Type_VeryValuableSalvage;,64.781,-103.813,43.094,pass
Fousang,$USS_Type_Aftermath;,44.125,-0.3125,-12.78125,pass
FW Cephei,$USS_Type_Salvage;,-1415.78125,366.65625,-355.3125,pass
FW Cephei,$USS_Type_ValuableSalvage;,-1415.78125,366.65625,-355.3125,pass
G 139-3,$USS_Type_WeaponsFire;,-19.906,21.969,30.25,pass
G 190-28,$USS_Type_Aftermath;,-44,-15.656,-13.313,pass
G 203-47,$USS_Type_Aftermath;,-18.34375,14.25,7.09375,pass
G 203-47,$USS_Type_Salvage;,-18.34375,14.25,7.09375,pass
G 203-47,$USS_Type_Salvage;,-18.344,14.25,7.094,pass
G 203-47,$USS_Type_ValuableSalvage;,-18.34375,14.25,7.09375,pass
G 203-47,$USS_Type_ValuableSalvage;,-18.344,14.25,7.094,pass
G 203-47,$USS_Type_VeryValuableSalvage;,-18.34375,14.25,7.09375,pass
G 203-47,$USS_Type_VeryValuableSalvage;,-18.344,14.25,7.094,pass
G 203-51,$USS_Type_Aftermath;,-15.875,12.03125,5.34375,pass
G 41-14,$USS_Type_Salvage;,7.938,7.719,-9.438,pass
G 99-49,$USS_Type_Salvage;,7.156,-3.094,-15.688,pass
Ganiklis,$USS_Type_Salvage;,23.40625,-6.4375,-38.9375,pass
Garongxians,$USS_Type_Salvage;,-43.938,-131.938,-94.844,pass
Garongxians,$USS_Type_WeaponsFire;,-43.938,-131.938,-94.844,pass
GD 319,$USS_Type_ValuableSalvage;,-19.375,43.625,-12.75,pass
Gendalla,$USS_Type_Convoy;,12,9.96875,-5.53125,pass
Gendalla,$USS_Type_Convoy;,12,9.969,-5.531,pass
Gendalla,$USS_Type_WeaponsFire;,12,9.969,-5.531,pass
Giryak,$USS_Type_Salvage;,14.6875,27.65625,108.65625,pass
Gliese 753,$USS_Type_Salvage;,-96.688,58.594,-58.313,pass
Gludgoea DN-B d13-140,$USS_Type_Salvage;,-3773.469,87.156,-3719.469,pass
GMM2008 129,$USS_Type_Salvage;,-415.21875,-419.71875,-1048.1875,pass
Gnowee,$USS_Type_DistressSignal;,41.469,9.031,29.563,pass
Gondul,$USS_Type_Convoy;,66.063,-109.625,45.969,pass
Gondul,$USS_Type_VeryValuableSalvage;,66.063,-109.625,45.969,pass
Gorgonea Secunda,$USS_Type_NonHuman;,-155.219,-87.688,-253.313,pass
GORGONEA TERTIA,$USS_Type_NonHuman;,-147.28125,-87.53125,-255.625,pass
Gorgonea Tertia,$USS_Type_NonHuman;,-147.281,-87.531,-255.625,pass
Gree,$USS_Type_Salvage;,-36.5,65.156,-45.594,pass
Groombridge 1618,$USS_Type_MissionTarget;,-2.34375,12.625,-9.34375,pass
Groombridge 1618,$USS_Type_Salvage;,-2.344,12.625,-9.344,pass
Groombridge 34,$USS_Type_Aftermath;,-9.906,-3.688,-5.094,pass
Groombridge 34,$USS_Type_Salvage;,-9.906,-3.688,-5.094,pass
Guaras,$USS_Type_Aftermath;,-89.656,-0.188,2.5,pass
Guaras,$USS_Type_Convoy;,-89.656,-0.188,2.5,pass
Gubian,$USS_Type_Aftermath;,76.625,-98.219,4.125,pass
Gucuma,$USS_Type_Aftermath;,-73.313,-80.375,-114.031,pass
Gucuma,$USS_Type_Convoy;,-73.313,-80.375,-114.031,pass
Gucuma,$USS_Type_VeryValuableSalvage;,-73.313,-80.375,-114.031,pass
Gugu,$USS_Type_MissionTarget;,-77.4375,91.5,-61.21875,pass
Gui Xian,$USS_Type_Aftermath;,145.281,-120.156,-2.031,pass
Gunavian,$USS_Type_Salvage;,2.46875,-121.21875,120.28125,pass
Guuguyni,$USS_Type_Ceremonial;,130.844,-96.469,67.563,pass
H Camelopardalis,$USS_Type_NonHuman;,-11.625,-164.84375,-296.46875,pass
H Camelopardalis,$USS_Type_Salvage;,-11.625,-164.84375,-296.46875,pass
Hakkaia,$USS_Type_Salvage;,104.96875,-12.6875,-34.25,pass
Havasupai,$USS_Type_WeaponsFire;,-88.75,-76.75,-39.625,pass
HD 239486,$USS_Type_Salvage;,-1366.625,242.625,-127.844,pass
HD 63154,$USS_Type_Salvage;,979.46875,-207.40625,-131.59375,pass
HDS 1879,$USS_Type_DistressSignal;,-38.125,69.1875,-17.09375,pass
HDS 3083,$USS_Type_DistressSignal;,-74.25,-25.5625,13.625,pass
HDS 3083,$USS_Type_Salvage;,-74.25,-25.5625,13.625,pass
HDS 3083,$USS_Type_Salvage;,-74.25,-25.563,13.625,pass
He Bo,$USS_Type_MissionTarget;,-34.5,69.281,-14.719,pass
He Bo,$USS_Type_ValuableSalvage;,-34.5,69.281,-14.719,pass
Hegeia WR-M b48-0,$USS_Type_Salvage;,-2623.78125,17.25,-2581.71875,pass
Hegoo HM-X b1-0,$USS_Type_Salvage;,1919.281,79.75,-3579.5,pass
Heilelang,$USS_Type_MissionTarget;,166.25,-107.375,-17.406,pass
Hemaskas,$USS_Type_MissionTarget;,33.5,-139.625,10.156,pass
Hemaskas,$USS_Type_Salvage;,33.5,-139.625,10.156,pass
Hemaskas,$USS_Type_WeaponsFire;,33.5,-139.625,10.156,pass
Hemez,$USS_Type_VeryValuableSalvage;,-13.875,-176.813,20.156,pass
Heng,$USS_Type_Aftermath;,-39.594,-124,-101.156,pass
Heng,$USS_Type_DistressSignal;,-39.594,-124,-101.156,pass
Heng,$USS_Type_Salvage;,-39.594,-124,-101.156,pass
Heng,$USS_Type_ValuableSalvage;,-39.594,-124,-101.156,pass
Heng,$USS_Type_WeaponsFire;,-39.594,-124,-101.156,pass
Hepa,$USS_Type_Salvage;,-29.438,34.469,21.531,pass
Hepa,$USS_Type_ValuableSalvage;,-29.438,34.469,21.531,pass
Hera,$USS_Type_DistressSignal;,-36.8125,55.59375,-17.96875,pass
Hera,$USS_Type_Salvage;,-36.8125,55.59375,-17.96875,pass
Hera,$USS_Type_ValuableSalvage;,-36.8125,55.59375,-17.96875,pass
Hera,$USS_Type_WeaponsFire;,-36.8125,55.59375,-17.96875,pass
Hermitage,$USS_Type_ValuableSalvage;,-28.75,25,10.4375,pass
Hez Ur,$USS_Type_Convoy;,149.969,23.656,-85.031,pass
Hind Sector BH-L b8-1,$USS_Type_NonHuman;,-80.688,-203.469,-483.969,pass
HIND SECTOR GR-W D1-13,$USS_Type_NonHuman;,-78.28125,-199.59375,-473.1875,pass
Hind Sector GR-W d1-13,$USS_Type_NonHuman;,-78.28125,-199.59375,-473.1875,pass
Hind Sector HR-W d1-15,$USS_Type_NonHuman;,-38.25,-204,-470.406,pass
Hind Sector IX-T c3-2,$USS_Type_Salvage;,-56.21875,-142.875,-504.09375,pass
HIP 103435,$USS_Type_Salvage;,-346.71875,193.875,-201.875,pass
HIP 10363,$USS_Type_Salvage;,122.063,-106.313,64.969,pass
HIP 104128,$USS_Type_Salvage;,-136.1875,-58.28125,65.65625,pass
HIP 10432,$USS_Type_Salvage;,-204.03125,-155.15625,-264.28125,pass
HIP 105192,$USS_Type_MissionTarget;,-153.5,-65.8125,60.3125,pass
HIP 105192,$USS_Type_Salvage;,-153.5,-65.8125,60.3125,pass
HIP 105391,$USS_Type_Salvage;,11.53125,-118.625,116.84375,pass
HIP 105863,$USS_Type_Salvage;,7.0625,-121.8125,115.65625,pass
HIP 106288,$USS_Type_Salvage;,15.5625,-158.0625,145.78125,pass
HIP 110483,$USS_Type_Salvage;,-23.469,-108.375,63.688,pass
HIP 111698,$USS_Type_Salvage;,-25.688,-114.594,58.031,pass
HIP 111880,$USS_Type_Convoy;,-16.563,-113.969,59.188,pass
HIP 111880,$USS_Type_MissionTarget;,-16.563,-113.969,59.188,pass
HIP 111880,$USS_Type_WeaponsFire;,-16.563,-113.969,59.188,pass
HIP 11223,$USS_Type_NonHuman;,-132.031,-266.094,-273.375,pass
HIP 11263,$USS_Type_ValuableSalvage;,104.96875,-168.65625,11.75,pass
HIP 113477,$USS_Type_WeaponsFire;,-121.406,19.781,-52.469,pass
HIP 114099,$USS_Type_MissionTarget;,-153.281,26.656,-69.344,pass
HIP 11584,$USS_Type_NonHuman;,-115.5,-173.71875,-216.09375,pass
HIP 116045,$USS_Type_Aftermath;,35.875,-181.781,77.5,pass
HIP 116045,$USS_Type_ValuableSalvage;,35.875,-181.781,77.5,pass
HIP 116045,$USS_Type_VeryValuableSalvage;,35.875,-181.781,77.5,pass
HIP 11643,$USS_Type_NonHuman;,-193.563,-116.094,-263.094,pass
HIP 11643,$USS_Type_ValuableSalvage;,-193.563,-116.094,-263.094,pass
HIP 116551,$USS_Type_ValuableSalvage;,-168.75,59.781,-95.688,pass
HIP 11700,$USS_Type_NonHuman;,-114.53125,-262.96875,-270.71875,pass
HIP 11749,$USS_Type_Salvage;,-118.125,-107.625,-183.875,pass
HIP 118311,$USS_Type_Salvage;,9.406,-123.5,31.594,pass
HIP 11971,$USS_Type_NonHuman;,-90.625,-247.21875,-245.53125,pass
HIP 12099,$USS_Type_Convoy;,-101.90625,-95.46875,-165.59375,pass
HIP 12099,$USS_Type_DistressSignal;,-101.906,-95.469,-165.594,pass
HIP 12099,$USS_Type_DistressSignal;,-101.90625,-95.46875,-165.59375,pass
HIP 12099,$USS_Type_Salvage;,-101.906,-95.469,-165.594,pass
HIP 12099,$USS_Type_Salvage;,-101.90625,-95.46875,-165.59375,pass
HIP 12099,$USS_Type_ValuableSalvage;,-101.906,-95.469,-165.594,pass
HIP 12099,$USS_Type_ValuableSalvage;,-101.90625,-95.46875,-165.59375,pass
HIP 12359,$USS_Type_NonHuman;,-105.21875,-248.28125,-273.0625,pass
HIP 12359,$USS_Type_NonHuman;,-105.219,-248.281,-273.063,pass
HIP 12657,$USS_Type_NonHuman;,-82.78125,-225.28125,-242.5,pass
HIP 12853,$USS_Type_NonHuman;,-64.875,-224.875,-229.0625,pass
HIP 12868,$USS_Type_Salvage;,108.438,-218.375,-36.563,pass
HIP 12948,$USS_Type_DistressSignal;,-188.40625,-80.1875,-263.28125,pass
HIP 13043,$USS_Type_NonHuman;,-81.0625,-278.6875,-291.46875,pass
HIP 13228,$USS_Type_NonHuman;,-86.53125,-275.15625,-302.78125,pass
HIP 13589,$USS_Type_Salvage;,-74.906,-126.938,-186.344,pass
HIP 13687,$USS_Type_NonHuman;,-45.15625,-267.875,-267.875,fail
HIP 13810,$USS_Type_NonHuman;,-82.813,-236.156,-289.719,pass
HIP 13864,$USS_Type_Salvage;,114.844,-224.969,-52.875,pass
HIP 14423,$USS_Type_NonHuman;,-96.5,-109.46875,-216.0625,pass
HIP 14479,$USS_Type_NonHuman;,-99.906,-102.469,-215,pass
HIP 14500,$USS_Type_NonHuman;,-98.875,-264.906,-363.719,pass
HIP 14631,$USS_Type_NonHuman;,-78.375,-280.625,-359.40625,pass
HIP 14792,$USS_Type_NonHuman;,-56.03125,-278.5625,-336.96875,pass
HIP 14843,$USS_Type_NonHuman;,-64.8125,-286.625,-358.1875,pass
HIP 14871,$USS_Type_DistressSignal;,-193.3125,-60.75,-300.5,pass
HIP 14908,$USS_Type_DistressSignal;,-74.84375,-127.65625,-218.28125,pass
HIP 14908,$USS_Type_NonHuman;,-74.84375,-127.65625,-218.28125,pass
HIP 14908,$USS_Type_NonHuman;,-74.84375,-127.65625,-218.28125,pass
HIP 14908,$USS_Type_ValuableSalvage;,-74.84375,-127.65625,-218.28125,pass
HIP 14909,$USS_Type_Convoy;,-84.375,-259.281,-358.656,pass
HIP 14909,$USS_Type_NonHuman;,-84.375,-259.28125,-358.65625,pass
HIP 14909,$USS_Type_NonHuman;,-84.375,-259.281,-358.656,pass
HIP 14909,$USS_Type_NonHuman;,-84.375,-259.28125,-358.65625,pass
HIP 14909,$USS_Type_ValuableSalvage;,-84.375,-259.281,-358.656,pass
HIP 14929,$USS_Type_NonHuman;,-72.46875,-163.375,-250.5,pass
HIP 15028,$USS_Type_Salvage;,-123.03125,-52.125,-206.78125,pass
HIP 15028,$USS_Type_ValuableSalvage;,-123.03125,-52.125,-206.78125,pass
HIP 15113,$USS_Type_NonHuman;,-65.75,-248.53125,-333.21875,pass
HIP 15134,$USS_Type_NonHuman;,-48.094,-136.656,-198.813,pass
HIP 15134,$USS_Type_Salvage;,-48.09375,-136.65625,-198.8125,pass
HIP 15134,$USS_Type_Salvage;,-48.094,-136.656,-198.813,pass
HIP 15134,$USS_Type_ValuableSalvage;,-48.094,-136.656,-198.813,pass
HIP 15189,$USS_Type_NonHuman;,-128.656,-252.094,-420.031,pass
HIP 15273,$USS_Type_NonHuman;,-81.71875,-118.53125,-227.125,pass
HIP 15341,$USS_Type_NonHuman;,-95.188,-167.563,-297.156,pass
HIP 15394,$USS_Type_NonHuman;,-46.03125,-150,-216.75,pass
HIP 15443,$USS_Type_ValuableSalvage;,-8.21875,-259.78125,-284.78125,pass
HIP 15456,$USS_Type_NonHuman;,-118.344,-67.625,-225.75,pass
HIP 15456,$USS_Type_ValuableSalvage;,-118.344,-67.625,-225.75,pass
HIP 15550,$USS_Type_NonHuman;,-89.906,-202.719,-334.938,pass
HIP 1572,$USS_Type_ValuableSalvage;,125.063,-174.219,93.938,pass
HIP 1572,$USS_Type_VeryValuableSalvage;,125.063,-174.219,93.938,pass
HIP 15746,$USS_Type_NonHuman;,-143.9375,-159.15625,-367.15625,pass
HIP 15866,$USS_Type_MissionTarget;,84.03125,-166.0625,-73.53125,pass
HIP 15902,$USS_Type_NonHuman;,-106.719,-128.469,-288.688,pass
HIP 15928,$USS_Type_NonHuman;,-42.78125,-206.78125,-292.09375,pass
HIP 15980,$USS_Type_NonHuman;,-77.28125,-113.6875,-234.5,pass
HIP 16107,$USS_Type_DistressSignal;,-94.313,-73.406,-214.594,pass
HIP 16107,$USS_Type_NonHuman;,-94.313,-73.406,-214.594,pass
HIP 16171,$USS_Type_NonHuman;,-107.875,-155.6875,-331.65625,pass
HIP 16217,$USS_Type_NonHuman;,-107.844,-155.563,-333.281,pass
HIP 16271,$USS_Type_NonHuman;,-62.0625,-165.40625,-284.09375,pass
HIP 16271,$USS_Type_NonHuman;,-62.0625,-165.40625,-284.09375,pass
HIP 16271,$USS_Type_NonHuman;,-62.063,-165.406,-284.094,pass
HIP 16314,$USS_Type_NonHuman;,-50.1875,-254.875,-376.5625,pass
HIP 16342,$USS_Type_NonHuman;,-18.3125,-208.84375,-277.90625,pass
HIP 16343,$USS_Type_WeaponsFire;,-58.594,-29.219,-117.094,pass
HIP 16374,$USS_Type_NonHuman;,-56.6875,-151.9375,-263.59375,pass
HIP 16374,$USS_Type_NonHuman;,-56.688,-151.938,-263.594,pass
HIP 16378,$USS_Type_NonHuman;,-118.75,-155.375,-354.875,pass
HIP 16393,$USS_Type_NonHuman;,-67.71875,-247.34375,-395.5,pass
HIP 16431,$USS_Type_NonHuman;,-109.156,-159.5,-348.219,pass
HIP 16431,$USS_Type_NonHuman;,-109.15625,-159.5,-348.21875,pass
HIP 16440,$USS_Type_NonHuman;,-74.375,-133,-267.344,pass
HIP 16444,$USS_Type_NonHuman;,-172.53125,-117.625,-386.84375,pass
HIP 16469,$USS_Type_DistressSignal;,-48.469,-161.344,-266.719,pass
HIP 16469,$USS_Type_NonHuman;,-48.46875,-161.34375,-266.71875,pass
HIP 16469,$USS_Type_NonHuman;,-48.469,-161.344,-266.719,pass
HIP 16469,$USS_Type_Salvage;,-48.469,-161.344,-266.719,pass
HIP 16497,$USS_Type_NonHuman;,-43.15625,-249.0625,-368.46875,pass
HIP 16557,$USS_Type_NonHuman;,-122.375,-105.906,-305.688,pass
HIP 16572,$USS_Type_NonHuman;,-40.4375,-194.5,-300.25,pass
HIP 16635,$USS_Type_NonHuman;,-102.84375,-168.96875,-359.4375,pass
HIP 16635,$USS_Type_NonHuman;,-102.84375,-168.96875,-359.4375,pass
HIP 16635,$USS_Type_ValuableSalvage;,-102.844,-168.969,-359.438,pass
HIP 16674,$USS_Type_NonHuman;,-61.59375,-170.28125,-303.9375,pass
HIP 16674,$USS_Type_NonHuman;,-61.594,-170.281,-303.938,pass
HIP 16692,$USS_Type_NonHuman;,-109.938,-61.563,-235.813,pass
HIP 16692,$USS_Type_Salvage;,-109.938,-61.563,-235.813,pass
HIP 16692,$USS_Type_ValuableSalvage;,-109.938,-61.563,-235.813,pass
HIP 16748,$USS_Type_NonHuman;,-34.9375,-166.5,-263.5,pass
HIP 16753,$USS_Type_Convoy;,-88.313,-172.938,-348.844,pass
HIP 16753,$USS_Type_DistressSignal;,-88.313,-172.938,-348.844,pass
HIP 16753,$USS_Type_NonHuman;,-88.3125,-172.9375,-348.84375,pass
HIP 16753,$USS_Type_NonHuman;,-88.3125,-172.9375,-348.84375,pass
HIP 16753,$USS_Type_NonHuman;,-88.313,-172.938,-348.844,pass
HIP 16753,$USS_Type_ValuableSalvage;,-88.313,-172.938,-348.844,pass
HIP 16757,$USS_Type_NonHuman;,-92.09375,-90.53125,-248.96875,pass
HIP 16757,$USS_Type_NonHuman;,-92.094,-90.531,-248.969,pass
HIP 16813,$USS_Type_Convoy;,-57.031,-143.375,-268.281,pass
HIP 16813,$USS_Type_NonHuman;,-57.03125,-143.375,-268.28125,pass
HIP 16813,$USS_Type_NonHuman;,-57.031,-143.375,-268.281,pass
HIP 16813,$USS_Type_NonHuman;,-57.03125,-143.375,-268.28125,pass
HIP 16813,$USS_Type_Salvage;,-57.031,-143.375,-268.281,pass
HIP 16813,$USS_Type_Salvage;,-57.03125,-143.375,-268.28125,pass
HIP 16813,$USS_Type_VeryValuableSalvage;,-57.031,-143.375,-268.281,pass
HIP 16813,$USS_Type_VeryValuableSalvage;,-57.03125,-143.375,-268.28125,pass
HIP 16813,$USS_Type_WeaponsFire;,-57.031,-143.375,-268.281,pass
HIP 16813,$USS_Type_WeaponsFire;,-57.03125,-143.375,-268.28125,pass
HIP 16824,$USS_Type_DistressSignal;,-49.219,-89.375,-187.188,pass
HIP 16930,$USS_Type_Convoy;,1.313,-124.344,-161.875,pass
HIP 16996,$USS_Type_NonHuman;,-81.781,-149.438,-343.375,pass
HIP 17000,$USS_Type_NonHuman;,-84.65625,-171.75,-353.125,pass
HIP 17000,$USS_Type_NonHuman;,-84.656,-171.75,-353.125,pass
HIP 17000,$USS_Type_ValuableSalvage;,-84.656,-171.75,-353.125,pass
HIP 17034,$USS_Type_NonHuman;,-92.1875,-157.625,-346.90625,pass
HIP 17034,$USS_Type_NonHuman;,-92.1875,-157.625,-346.90625,pass
HIP 17034,$USS_Type_NonHuman;,-92.188,-157.625,-346.906,pass
HIP 17044,$USS_Type_NonHuman;,-74.25,-129.531,-283.156,pass
HIP 17049,$USS_Type_Salvage;,-22.78125,-123.125,-198.6875,pass
HIP 17125,$USS_Type_DistressSignal;,-95.875,-128.75,-316.563,pass
HIP 17125,$USS_Type_NonHuman;,-95.875,-128.75,-316.5625,pass
HIP 17125,$USS_Type_NonHuman;,-95.875,-128.75,-316.5625,pass
HIP 17125,$USS_Type_NonHuman;,-95.875,-128.75,-316.563,pass
HIP 17125,$USS_Type_ValuableSalvage;,-95.875,-128.75,-316.5625,pass
HIP 17168,$USS_Type_NonHuman;,-103.75,-128.5625,-329.9375,pass
HIP 17168,$USS_Type_NonHuman;,-103.75,-128.563,-329.938,pass
HIP 17225,$USS_Type_DistressSignal;,-86.15625,-165.59375,-356.8125,pass
HIP 17225,$USS_Type_NonHuman;,-86.15625,-165.59375,-356.8125,pass
HIP 17225,$USS_Type_NonHuman;,-86.156,-165.594,-356.813,pass
HIP 17225,$USS_Type_NonHuman;,-86.15625,-165.59375,-356.8125,pass
HIP 17225,$USS_Type_Salvage;,-86.156,-165.594,-356.813,pass
HIP 17225,$USS_Type_ValuableSalvage;,-86.15625,-165.59375,-356.8125,pass
HIP 17225,$USS_Type_WeaponsFire;,-86.156,-165.594,-356.813,pass
HIP 17225,$USS_Type_WeaponsFire;,-86.15625,-165.59375,-356.8125,pass
HIP 17238,$USS_Type_NonHuman;,-26.469,-160.625,-260.813,pass
HIP 17289,$USS_Type_NonHuman;,-87.094,-177.781,-377.656,pass
HIP 17317,$USS_Type_NonHuman;,-78.03125,-166.15625,-349.09375,pass
HIP 17317,$USS_Type_NonHuman;,-78.031,-166.156,-349.094,pass
HIP 17340,$USS_Type_DistressSignal;,-73.656,-174.938,-355.719,pass
HIP 17340,$USS_Type_NonHuman;,-73.656,-174.938,-355.719,pass
HIP 17362,$USS_Type_NonHuman;,-142.063,-122.906,-387.781,pass
HIP 17401,$USS_Type_NonHuman;,-90.313,-173.688,-383.219,pass
HIP 17403,$USS_Type_NonHuman;,-93.6875,-158.96875,-367.625,pass
HIP 17403,$USS_Type_NonHuman;,-93.6875,-158.96875,-367.625,pass
HIP 17403,$USS_Type_NonHuman;,-93.688,-158.969,-367.625,pass
HIP 17481,$USS_Type_NonHuman;,-58.84375,-150.25,-305.53125,pass
HIP 17481,$USS_Type_NonHuman;,-58.844,-150.25,-305.531,pass
HIP 17497,$USS_Type_NonHuman;,-79.125,-158.6875,-349.125,pass
HIP 17497,$USS_Type_NonHuman;,-79.125,-158.688,-349.125,pass
HIP 17525,$USS_Type_NonHuman;,-73.813,-113.688,-277.219,pass
HIP 17552,$USS_Type_NonHuman;,-51.59375,-126.21875,-262.125,pass
HIP 17552,$USS_Type_NonHuman;,-51.594,-126.219,-262.125,pass
HIP 17572,$USS_Type_NonHuman;,-78.375,-160.063,-353.469,pass
HIP 17583,$USS_Type_NonHuman;,-92.094,-153.781,-366.219,pass
HIP 17655,$USS_Type_Aftermath;,-83.40625,-32.90625,-178.375,pass
HIP 17664,$USS_Type_NonHuman;,-90.375,-164.031,-382.438,pass
HIP 17684,$USS_Type_DistressSignal;,-42.34375,-82.78125,-188.5,pass
HIP 17684,$USS_Type_Salvage;,-42.344,-82.781,-188.5,pass
HIP 17684,$USS_Type_ValuableSalvage;,-42.344,-82.781,-188.5,pass
HIP 17692,$USS_Type_Aftermath;,-74.125,-143.96875,-328.78125,pass
HIP 17692,$USS_Type_Aftermath;,-74.125,-143.969,-328.781,pass
HIP 17692,$USS_Type_Convoy;,-74.125,-143.969,-328.781,pass
HIP 17692,$USS_Type_DistressSignal;,-74.125,-143.96875,-328.78125,pass
HIP 17692,$USS_Type_DistressSignal;,-74.125,-143.969,-328.781,pass
HIP 17692,$USS_Type_NonHuman;,-74.125,-143.96875,-328.78125,pass
HIP 17692,$USS_Type_NonHuman;,-74.125,-143.96875,-328.78125,pass
HIP 17692,$USS_Type_NonHuman;,-74.125,-143.969,-328.781,pass
HIP 17692,$USS_Type_NonHuman;,-78.719,-138.031,-321.781,pass
HIP 17692,$USS_Type_NonHuman;,-81.781,-149.438,-343.375,pass
HIP 17692,$USS_Type_Salvage;,-74.125,-143.96875,-328.78125,pass
HIP 17692,$USS_Type_Salvage;,-74.125,-143.969,-328.781,pass
HIP 17692,$USS_Type_ValuableSalvage;,-74.125,-143.96875,-328.78125,pass
HIP 17692,$USS_Type_ValuableSalvage;,-74.125,-143.969,-328.781,pass
